Date,London futures (£ sterling/tonne),New York futures (US$/tonne),ICCO daily price (US$/tonne),ICCO daily price (Euro/tonne),MA_7,MA_30,MA_90,Price_Diff,Volatility_7,Volatility_30,Volatility_90
2023-12-19,3417.33,4239.33,4299.33,3916.9,4289.532857142857,4405.174333333333,6542.116777777778,-5.130000000000109,26.872017487250623,192.76090674789654,2202.543201307652
2023-12-18,3429.67,4231.33,4283.3,3922.86,4296.93,4388.0109999999995,6473.330333333334,-16.029999999999745,10.189576374518452,178.99075549921426,2174.8629557312865
2023-12-15,3416.0,4200.0,4272.15,3917.35,4295.007142857143,4371.243666666666,6402.01311111111,-11.150000000000546,13.43496149982213,164.4416259594956,2139.9721850043843
2023-12-15,3416.0,4200.0,4272.15,3917.35,4292.018571428571,4356.972333333333,6337.134222222222,0.0,16.016474257607687,153.08644602471728,2114.6169973152964
2023-12-14,3412.33,4214.67,4285.77,3898.98,4288.337142857143,4345.656,6266.536666666667,13.6200000000008,13.553921591252054,144.89925833574478,2075.056791819535
2023-12-13,3428.67,4184.67,4241.76,3931.27,4279.845714285714,4334.296666666666,6191.81211111111,-44.01000000000022,20.822661419644955,138.92287275591008,2024.359268992573
2023-12-12,3416.67,4169.33,4230.5,3921.04,4269.28,4318.1776666666665,6121.4167777777775,-11.260000000000218,24.661696346613567,120.12043828762086,1980.2146076340387
2023-12-11,3390.67,4138.33,4198.93,3907.52,4254.937142857143,4305.0470000000005,6060.613888888889,-31.56999999999971,32.288524130135144,110.17875041248307,1953.8310873087573
2023-12-07,3394.33,4162.67,4217.98,3907.33,4245.605714285714,4293.211666666666,6003.23288888889,19.049999999999272,32.164013461181,98.89031109367333,1930.8819225090992
2023-12-05,3320.67,4072.0,4128.35,3826.78,4225.062857142858,4278.132333333333,5938.141555555556,-89.6299999999992,52.11746850947497,87.35391816368906,1893.472040712333
2023-12-04,3361.67,4112.67,4181.33,3862.92,4212.088571428571,4268.101,5867.6410000000005,52.97999999999956,49.68974120459066,80.07974018853662,1838.0288724670672
2023-12-01,3383.33,4168.33,4230.81,3890.02,4204.237142857143,4260.185333333333,5803.024555555555,49.48000000000047,39.379450527355814,70.81043955468701,1791.1000157866388
2023-11-30,3437.0,4241.67,4293.79,3939.34,4211.67,4254.844999999999,5739.655777777778,62.97999999999956,50.87478845191227,61.059328398908356,1741.2465417889732
2023-11-29,3432.0,4230.0,4295.35,3914.14,4220.934285714286,4251.9,5678.717666666666,1.5600000000004002,59.96728159531215,56.59775163112208,1693.5828050436185
